id,country_id,state_name,state_code,state_initial,active,reason
395,43,Vaud,0,,1,NULL
397,46,Antofagasta,0,,1,NULL
400,46,Coquimbo,0,,1,NULL
402,46,Los Lagos,0,,1,NULL
403,46,Magallanes,0,,1,NULL
404,46,Maule,0,,1,NULL
406,46,Santiago,0,,1,NULL
409,48,Anhui,0,,1,NULL
410,48,Chongqing,0,,1,NULL
411,48,Fujian,0,,1,NULL
412,48,Gansu,0,,1,NULL
413,48,Guangdong,0,,1,NULL
414,48,Guangxi,0,,1,NULL
415,48,Guizhou,0,,1,NULL
416,48,Hainan,0,,1,NULL
417,48,Hebei,0,,1,NULL
418,48,Heilongjiang,0,,1,NULL
419,48,Henan,0,,1,NULL
420,48,Hubei,0,,1,NULL
421,48,Hunan,0,,1,NULL
422,48,Inner Mongolia,0,,1,NULL
423,48,Jiangsu,0,,1,NULL
424,48,Jiangxi,0,,1,NULL
425,48,Jilin,0,,1,NULL
426,48,Liaoning,0,,1,NULL
427,48,Ningxia,0,,1,NULL
428,48,Peking,0,,1,NULL
429,48,Qinghai,0,,1,NULL
430,48,Shaanxi,0,,1,NULL
431,48,Shandong,0,,1,NULL
432,48,Shanghai,0,,1,NULL
433,48,Shanxi,0,,1,NULL
434,48,Sichuan,0,,1,NULL
435,48,Tianjin,0,,1,NULL
436,48,Tibet,0,,1,NULL
437,48,Xinxiang,0,,1,NULL
438,48,Yunnan,0,,1,NULL
439,48,Zhejiang,0,,1,NULL
445,47,Centre,0,,1,NULL
447,47,Littoral,0,,1,NULL
448,47,Nord,0,,1,NULL
449,47,Nord-Ouest,0,,1,NULL
450,47,Ouest,0,,1,NULL
461,119,Brazzaville,0,,1,NULL
462,119,Kouilou,0,,1,NULL
463,45,Rarotonga,0,,1,NULL
464,49,Antioquia,0,,1,NULL
468,49,Caldas,0,,1,NULL
472,49,Cesar,0,,1,NULL
473,49,Cundinamarca,0,,1,NULL
474,49,Huila,0,,1,NULL
475,49,La Guajira,0,,1,NULL
476,49,Magdalena,0,,1,NULL
477,49,Meta,0,,1,NULL
481,49,Risaralda,0,,1,NULL
483,49,Santander,0,,1,NULL
484,49,Sucre,0,,1,NULL
486,49,Valle,0,,1,NULL
487,119,Njazidja,0,,1,NULL
492,51,Cienfuegos,0,,1,NULL
493,51,Granma,0,,1,NULL
496,51,La Habana,0,,1,NULL
497,51,Las Tunas,0,,1,NULL
498,51,Matanzas,0,,1,NULL
501,51,Santiago de Cuba,0,,1,NULL
502,51,Villa Clara,0,,1,NULL
504,124,Grand Cayman,0,,1,NULL
505,55,Limassol,0,,1,NULL
506,55,Nicosia,0,,1,NULL
514,57,Anhalt Sachsen,0,,1,NULL
516,57,Baijeri,0,,1,NULL
517,57,Berliini,0,,1,NULL
518,57,Brandenburg,0,,1,NULL
519,57,Bremen,0,,1,NULL
520,57,Hamburg,0,,1,NULL
521,57,Hessen,0,,1,NULL
522,57,Mecklenburg-Vorpomme,0,,1,NULL
523,57,Niedersachsen,0,,1,NULL
524,57,Nordrhein-Westfalen,0,,1,NULL
525,57,Rheinland-Pfalz,0,,1,NULL
527,57,Saksi,0,,1,NULL
528,57,Schleswig-Holstein,0,,1,NULL
530,58,Djibouti,0,,1,NULL
531,60,St George,0,,1,NULL
533,59,Frederiksberg,0,,1,NULL
534,59,Fyn,0,,1,NULL
536,59,Nordjylland,0,,1,NULL
539,61,La Romana,0,,1,NULL
540,61,Puerto Plata,0,,1,NULL
542,61,Santiago,0,,1,NULL
543,62,Alger,0,,1,NULL
544,62,Annaba,0,,1,NULL
545,62,Batna,0,,1,NULL
548,62,Biskra,0,,1,NULL
549,62,Blida,0,,1,NULL
